2024-05-21 11:42:13,076 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=131561
2024-05-21 11:43:46,010 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=152904
2024-05-21 11:44:10,801 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=125898
2024-05-21 11:45:37,196 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=131444
2024-05-21 11:46:04,606 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=125274
2024-05-21 11:46:55,921 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=131235
2024-05-21 11:47:39,201 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=115030
2024-05-21 11:48:30,276 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=125148
2024-05-21 11:51:46,422 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=158329
2024-05-21 11:52:45,682 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=127724
2024-05-21 11:53:17,263 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=221101
2024-05-21 11:54:43,296 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=126946
2024-05-21 11:55:21,268 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=128991
2024-05-21 11:55:32,815 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=225911
2024-05-21 11:57:30,503 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=299040
2024-05-21 11:57:52,268 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=126489
2024-05-21 11:58:43,585 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=125303
2024-05-21 12:00:23,177 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=125938
2024-05-21 12:00:57,954 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=128097
2024-05-21 12:01:25,585 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=127387
2024-05-21 12:02:11,646 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=128931
2024-05-21 12:03:43,208 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=302150
2024-05-21 12:06:31,156 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=152669
2024-05-21 12:07:30,785 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=127962
2024-05-21 12:07:54,077 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=235324
2024-05-21 12:08:42,827 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=201934
2024-05-21 12:09:06,102 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=125048
2024-05-21 12:09:16,123 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=215353
2024-05-21 12:09:30,763 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=139734
2024-05-21 12:09:41,897 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=232371
2024-05-21 12:09:53,055 Timeout error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=60782
2024-05-21 12:09:53,055 Request error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=228986 - HTTPSConnectionPool(host='genealogy.math.ndsu.nodak.edu', port=443): Max retries exceeded with url: /id.php?id=228986 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001A2A8E1D450>: Failed to resolve 'genealogy.math.ndsu.nodak.edu' ([Errno 11001] getaddrinfo failed)"))
2024-05-21 12:09:53,071 Request error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=129079 - HTTPSConnectionPool(host='genealogy.math.ndsu.nodak.edu', port=443): Max retries exceeded with url: /id.php?id=129079 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001A2A9018550>: Failed to resolve 'genealogy.math.ndsu.nodak.edu' ([Errno 11001] getaddrinfo failed)"))
2024-05-21 12:09:53,074 Request error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=191279 - HTTPSConnectionPool(host='genealogy.math.ndsu.nodak.edu', port=443): Max retries exceeded with url: /id.php?id=191279 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001A2A9018110>: Failed to resolve 'genealogy.math.ndsu.nodak.edu' ([Errno 11001] getaddrinfo failed)"))
2024-05-21 12:09:53,081 Request error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=124061 - HTTPSConnectionPool(host='genealogy.math.ndsu.nodak.edu', port=443): Max retries exceeded with url: /id.php?id=124061 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001A2A9232890>: Failed to resolve 'genealogy.math.ndsu.nodak.edu' ([Errno 11001] getaddrinfo failed)"))
2024-05-21 12:09:53,084 Request error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=115324 - HTTPSConnectionPool(host='genealogy.math.ndsu.nodak.edu', port=443): Max retries exceeded with url: /id.php?id=115324 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001A2A92302D0>: Failed to resolve 'genealogy.math.ndsu.nodak.edu' ([Errno 11001] getaddrinfo failed)"))
2024-05-21 12:09:53,090 Request error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=123757 - HTTPSConnectionPool(host='genealogy.math.ndsu.nodak.edu', port=443): Max retries exceeded with url: /id.php?id=123757 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001A2A90F1210>: Failed to resolve 'genealogy.math.ndsu.nodak.edu' ([Errno 11001] getaddrinfo failed)"))
2024-05-21 12:09:53,092 Request error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=123758 - HTTPSConnectionPool(host='genealogy.math.ndsu.nodak.edu', port=443): Max retries exceeded with url: /id.php?id=123758 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001A2A90F0B10>: Failed to resolve 'genealogy.math.ndsu.nodak.edu' ([Errno 11001] getaddrinfo failed)"))
2024-05-21 12:09:53,095 Request error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=129422 - HTTPSConnectionPool(host='genealogy.math.ndsu.nodak.edu', port=443): Max retries exceeded with url: /id.php?id=129422 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001A2A891AC50>: Failed to resolve 'genealogy.math.ndsu.nodak.edu' ([Errno 11001] getaddrinfo failed)"))
2024-05-21 12:09:53,103 Request error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=115325 - HTTPSConnectionPool(host='genealogy.math.ndsu.nodak.edu', port=443): Max retries exceeded with url: /id.php?id=115325 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001A2A90F0D90>: Failed to resolve 'genealogy.math.ndsu.nodak.edu' ([Errno 11001] getaddrinfo failed)"))
2024-05-21 12:09:53,108 Request error for URL: https://genealogy.math.ndsu.nodak.edu/id.php?id=115326 - HTTPSConnectionPool(host='genealogy.math.ndsu.nodak.edu', port=443): Max retries exceeded with url: /id.php?id=115326 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001A2A90F1510>: Failed to resolve 'genealogy.math.ndsu.nodak.edu' ([Errno 11001] getaddrinfo failed)"))
